project_name,district,market_segment,tenure,lease_start_year,transaction_count,median_psf,avg_psf_5yr_ago,appreciation_1yr,appreciation_3yr,appreciation_5yr,annualized_appreciation,resale_annualized_appreciation,new_sale_proportion,has_new_launch_bias,appreciation_momentum,data_coverage,source,updated
PARC VERA,D19,Outside Central Region,99 yrs lease commencing from 2010,2010,82,1595.0,1074.0,8.02573653911276,27.192982456140346,48.51024208566108,8.23090282715393,8.23090282715393,0.0,False,-0.041,5yr,ura_5yr_cagr,2026-06-07
SUNGLADE,D19,Outside Central Region,99 yrs lease commencing from 2000,2000,82,1705.0,1193.5,4.729729729729737,17.993079584775096,42.85714285714286,7.394092378577932,7.394092378577932,0.0,False,-0.533,5yr,ura_5yr_cagr,2026-06-07
COMPASS HEIGHTS,D19,Outside Central Region,99 yrs lease commencing from 2000,2000,80,1344.0,929.5,3.1070195627157737,18.780380026513477,44.59386767079074,7.6539513616803,7.6539513616803,0.0,False,-0.909,5yr,ura_5yr_cagr,2026-06-07
THE LILIUM,D19,Outside Central Region,Freehold,,72,,2083.0,,,,,,1.0,True,,none,ura_data,2026-06-07
EVERGREEN PARK,D19,Outside Central Region,99 yrs lease commencing from 1995,1995,70,1156.0,838.0,3.7701974865349985,19.421487603305778,37.94749403341289,6.645556074624159,6.645556074624159,0.0,False,-0.575,5yr,ura_5yr_cagr,2026-06-07
CHILTERN PARK,D19,Outside Central Region,99 yrs lease commencing from 1991,1991,69,1594.0,1169.0,6.019288327236438,18.249258160237392,36.355859709153115,6.398317686315891,6.398317686315891,0.0,False,-0.076,5yr,ura_5yr_cagr,2026-06-07
MIDTOWN RESIDENCES,D19,Outside Central Region,99 yrs lease commencing from 2013,2013,61,1610.0,1317.0,0.8140262993111991,5.8862216376192045,22.24753227031131,4.099350586065298,4.099350586065298,0.0,False,-0.657,5yr,ura_5yr_cagr,2026-06-07
THE SPRINGBLOOM,D19,Outside Central Region,99 yrs lease commencing from 1995,1995,59,1560.0,1133.0,-3.045369794903663,9.589041095890405,37.68755516328333,6.605334621279413,6.605334621279413,0.0,False,-1.0,5yr,ura_5yr_cagr,2026-06-07
THE TEMBUSU,D19,Outside Central Region,Freehold,,57,1964.0,1727.0,3.368421052631576,5.7050592034445735,13.72321945570354,2.60530818985929,2.60530818985929,0.0,False,0.153,5yr,ura_5yr_cagr,2026-06-07
CARDIFF RESIDENCE,D19,Outside Central Region,99 yrs lease commencing from 2011,2011,53,1490.5,1427.0,-11.987009152642457,-5.604813172894241,4.449894884372818,0.8745479323470695,0.8745479323470695,0.0,False,-1.0,5yr,ura_5yr_cagr,2026-06-07
KENSINGTON SQUARE,D19,Outside Central Region,Freehold,,46,1707.0,1345.5,8.656906429026101,10.27131782945736,26.867335562987726,4.8745146109102855,4.8745146109102855,0.0,False,0.756,5yr,ura_5yr_cagr,2026-06-07
THE PROMENADE@PELIKAT,D19,Outside Central Region,Freehold,,46,1169.0,1081.5,-4.649265905383359,-18.108581436077053,8.090614886731395,1.5681629456668622,1.5681629456668622,0.0,False,-1.0,5yr,ura_5yr_cagr,2026-06-07
TRILIVE,D19,Outside Central Region,Freehold,,46,1890.0,1578.0,4.970841432935291,7.082152974504252,19.771863117870716,3.674264032989938,3.674264032989938,0.0,False,0.259,5yr,ura_5yr_cagr,2026-06-07
CASA CAMBIO,D19,Outside Central Region,Freehold,,45,1752.5,1452.0,2.4254821741671595,27.36191860465116,20.695592286501373,3.83368856163544,3.83368856163544,0.0,False,-0.282,5yr,ura_5yr_cagr,2026-06-07
JADE RESIDENCES,D19,Outside Central Region,Freehold,,43,1411.0,1444.5,-21.87153931339978,-17.869615832363216,-2.319141571478023,-0.46819190971079117,-0.46819190971079117,0.0,False,-1.0,5yr,ura_5yr_cagr,2026-06-07
SUITES @ PAYA LEBAR,D19,Outside Central Region,Freehold,,43,1705.0,1479.0,1.4880952380952328,3.5844471445929615,15.280594996619335,2.8848057296460894,2.8848057296460894,0.0,False,-0.279,5yr,ura_5yr_cagr,2026-06-07
